id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
1,1759201262.96368,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
2,1759201262.96368,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
3,1759201262.98631,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
4,1759201262.98631,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
5,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
6,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
7,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
8,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
9,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
10,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
11,1759201263.01957,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
12,1759201263.08381,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
13,1759201263.08381,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
14,1759201263.10397,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,IN,TCP,,443,51963,60,A
15,1759201263.10397,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
16,1759201263.10397,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
17,1759201263.11354,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,IN,TCP,,443,51963,719,PA
18,1759201263.11354,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,IN,TCP,,443,51963,78,FPA
19,1759201263.11354,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,OUT,TCP,,51963,443,54,A
20,1759201263.11354,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,OUT,TCP,,51963,443,78,PA
21,1759201263.11354,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,OUT,TCP,,51963,443,54,FA
22,1759201263.11765,2025-09-30T03:01:00Z,52.6.228.48,192.168.0.4,OUT,TCP,,51963,443,54,RA
23,1759201263.20212,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
24,1759201263.20212,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
25,1759201263.21168,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
26,1759201263.21269,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
27,1759201263.21819,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,OUT,TCP,,55657,8009,164,PA
28,1759201263.22386,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,IN,TCP,,8009,55657,164,PA
29,1759201263.26736,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,OUT,TCP,,55657,8009,54,A
30,1759201263.27356,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
31,1759201263.27356,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
32,1759201263.30389,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
33,1759201263.30389,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
34,1759201263.30389,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
35,1759201263.30389,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
36,1759201263.31392,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
37,1759201263.33488,2025-09-30T03:01:00Z,239.255.255.250,192.168.0.4,OUT,UDP,,53855,1900,143,
38,1759201263.33608,2025-09-30T03:01:00Z,192.168.0.1,192.168.0.4,IN,UDP,,1900,53855,354,
39,1759201263.33708,2025-09-30T03:01:00Z,192.168.0.1,192.168.0.4,IN,UDP,,59829,53855,408,
40,1759201263.38396,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
41,1759201263.38396,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
42,1759201263.40365,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
43,1759201263.40365,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
44,1759201263.45066,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
45,1759201263.45066,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
46,1759201263.51393,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
47,1759201263.51393,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
48,1759201263.57531,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
49,1759201263.57531,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
50,1759201263.60238,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
51,1759201263.60389,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
52,1759201263.6685,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
53,1759201263.6685,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
54,1759201263.6685,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
55,1759201263.71906,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
56,1759201263.71906,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
57,1759201263.78385,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
58,1759201263.7852,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
59,1759201263.80245,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
60,1759201263.80396,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
61,1759201263.85868,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
62,1759201263.85868,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
63,1759201263.91855,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,OUT,TCP,,65519,8009,164,PA
64,1759201263.92452,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
65,1759201263.92452,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
66,1759201263.92452,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,IN,TCP,,8009,65519,164,PA
67,1759201263.96855,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,OUT,TCP,,65519,8009,54,A
68,1759201264.00085,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
69,1759201264.00085,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
