id,window_start,window_end,client_ip,traffic_in,traffic_out,total_traffic,protocols_json,services_json,ports_json
1,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,176.229.6.55,63826,2966,66792,"{""UDP"": 66792}","{""UDP_Other"": 66792}","{""31689"": 66792}"
2,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,189.203.85.115,5900,920,6820,"{""UDP"": 6820}","{""UDP_Other"": 6820}","{""31689"": 6820}"
3,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,52.6.228.48,857,240,1097,"{""TCP"": 1097}","{""TCP_Other"": 1097}","{""51963"": 1097}"
4,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,192.168.0.3,841,600,1441,"{""TCP"": 928, ""UDP"": 513}","{""TCP_Other"": 928, ""UDP_Other"": 513}","{""55657"": 382, ""65519"": 382, ""53855"": 513, ""63736"": 164}"
5,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,239.255.255.250,0,656,656,"{""UDP"": 656}","{""UDP_Other"": 656}","{""53855"": 143, ""64102"": 513}"
6,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,192.168.0.1,762,0,762,"{""UDP"": 762}","{""UDP_Other"": 762}","{""53855"": 762}"
7,2025-09-30T03:01:00Z,2025-09-30T03:01:02Z,63.140.39.123,60,54,114,"{""TCP"": 114}","{""TCP_Other"": 114}","{""51961"": 114}"
8,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,176.229.6.55,205679,4914,210593,"{""UDP"": 210593}","{""UDP_Other"": 210593}","{""31689"": 210593}"
9,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,239.255.255.250,0,348,348,"{""UDP"": 348}","{""UDP_Other"": 348}","{""64102"": 348}"
10,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,192.168.0.1,1410,0,1410,"{""UDP"": 1410}","{""UDP_Other"": 1410}","{""64102"": 1410}"
11,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,189.203.85.115,5962,1021,6983,"{""UDP"": 6983}","{""UDP_Other"": 6983}","{""31689"": 6983}"
12,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,172.104.218.101,88,54,142,"{""TCP"": 142}","{""TCP_Other"": 142}","{""52940"": 142}"
13,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,5.79.67.26,352,146,498,"{""UDP"": 498}","{""UDP_Other"": 498}","{""31689"": 498}"
14,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,192.168.0.255,0,126,126,"{""UDP"": 126}","{""UDP_Other"": 126}","{""53854"": 63, ""53853"": 63}"
15,2025-09-30T03:01:03Z,2025-09-30T03:01:05Z,34.158.255.62,65,119,184,"{""TCP"": 184}","{""TCP_Other"": 184}","{""57433"": 184}"
16,2025-09-30T03:03:32Z,2025-09-30T03:03:34Z,189.203.85.115,2932890,40633,2973523,"{""UDP"": 2973523}","{""UDP_Other"": 2973523}","{""31689"": 2973523}"
17,2025-09-30T03:03:32Z,2025-09-30T03:03:34Z,176.229.6.55,13506,646,14152,"{""UDP"": 14152}","{""UDP_Other"": 14152}","{""31689"": 14152}"
18,2025-09-30T03:03:32Z,2025-09-30T03:03:34Z,40.79.141.153,213,2496,2709,"{""TCP"": 2709}","{""TCP_Other"": 2709}","{""61502"": 2709}"
19,2025-09-30T03:03:32Z,2025-09-30T03:03:34Z,192.168.0.3,328,382,710,"{""TCP"": 710}","{""TCP_Other"": 710}","{""65519"": 382, ""63736"": 328}"
20,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,189.203.85.115,3089302,39163,3128465,"{""UDP"": 3128465}","{""UDP_Other"": 3128465}","{""31689"": 3128465}"
21,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,176.229.6.55,20844,1027,21871,"{""UDP"": 21871}","{""UDP_Other"": 21871}","{""31689"": 21871}"
22,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,125.241.212.97,720,1313,2033,"{""UDP"": 2033}","{""UDP_Other"": 2033}","{""31689"": 2033}"
23,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,192.168.0.255,0,63,63,"{""UDP"": 63}","{""UDP_Other"": 63}","{""53854"": 63}"
24,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,93.159.27.176,0,66,66,"{""TCP"": 66}","{""TCP_Other"": 66}","{""59940"": 66}"
25,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,185.111.212.136,0,66,66,"{""TCP"": 66}","{""TCP_Other"": 66}","{""59941"": 66}"
26,2025-09-30T03:03:35Z,2025-09-30T03:03:37Z,192.168.0.3,164,164,328,"{""TCP"": 328}","{""TCP_Other"": 328}","{""55657"": 328}"
